,126Winter INTCP,126Spring INTCP,126Summer INTCP,126Fall INTCP,585Winter INTCP,585Spring INTCP,585Summer INTCP,585Fall INTCP
UKESM1-0-LL,4.68,5.49,40.03,9.14,4.87,4.37,31.29,8.97
TaiESM1,6.58,11.51,23.92,13.00,6.60,10.39,24.91,10.72
NorESM2-MM,2.74,5.65,28.11,6.00,5.96,5.01,20.57,7.15
NorESM2-LM,4.98,7.49,22.33,5.10,4.33,3.16,26.42,6.06
NESM3,6.46,10.66,28.70,4.82,6.47,3.62,21.05,6.31
MRI-ESM2-0,5.44,3.89,22.47,6.87,6.19,4.67,25.16,5.12
MPI-ESM1-2-LR,4.81,4.31,25.92,7.37,8.38,5.59,22.28,6.59
MPI-ESM1-2-HR,6.74,5.80,25.04,5.90,5.03,8.88,25.20,7.53
MIROC6,5.29,2.83,23.42,4.33,4.39,6.00,26.12,4.16
MIROC-ES2L,4.76,4.73,20.17,6.36,6.26,7.26,18.02,4.97
KIOST-ESM,8.39,5.75,26.84,7.08,6.04,7.49,20.40,6.43
KACE-1-0-G,7.44,7.77,29.29,12.46,7.25,6.41,34.21,10.09
IPSL-CM6A-LR,6.87,7.59,27.13,12.46,6.39,5.72,23.35,3.88
INM-CM5-0,2.64,3.30,23.36,5.98,5.74,6.84,20.44,8.03
INM-CM4-8,6.01,6.03,27.82,6.66,7.95,5.06,25.57,3.11
IITM-ESM,7.82,6.17,23.27,8.27,7.01,7.89,25.43,8.03
HadGEM3-GC31-MM,6.07,3.94,33.19,11.28,4.07,7.45,37.05,8.79
HadGEM3-GC31-LL,3.93,7.63,17.32,6.12,4.55,4.34,37.52,9.32
GISS-E2-1-G,3.93,7.63,17.32,6.12,3.82,4.49,21.73,5.16
GFDL-ESM4,6.49,4.70,21.86,7.41,5.30,2.32,25.65,6.14
FGOALS-g3,4.81,4.90,24.92,0.37,6.19,4.81,23.23,3.42
EC-Earth3-Veg-LR,8.23,8.11,20.51,7.15,5.64,5.37,26.97,6.29
EC-Earth3,7.02,6.30,29.58,3.76,4.39,4.79,23.58,2.47
CanESM5,5.13,5.12,23.81,4.90,5.26,5.94,23.08,4.71
CNRM-ESM2-1,6.56,8.67,24.01,2.35,4.47,7.88,21.37,5.13
CNRM-CM6-1,5.95,7.74,23.55,5.64,5.81,0.49,20.87,8.12
CMCC-ESM2,6.07,6.40,19.49,7.43,5.99,4.57,26.54,7.66
CMCC-CM2-SR5,6.15,5.80,29.17,7.57,4.40,-1.48,22.39,-2.67
CESM2,6.40,6.40,21.66,6.10,6.54,5.70,25.66,4.94
BCC-CSM2-MR,7.93,4.28,27.80,7.20,7.05,7.78,23.30,6.92
ACCESS-ESM1-5,2.97,2.65,22.63,7.81,5.81,0.49,20.87,8.12
ACCESS-CM2,5.91,5.01,18.80,5.60,3.67,5.69,21.81,8.05